moduleCode,probability
CS1010,1
CS1010E,0.697435897
CS1010S,1
CS1101S,1
CS1231,0.966666667
CS1231S,1
CS2030,0.723577236
CS2030S,0.777777778
CS2040,0.9
CS2040C,1
CS2040S,0.703703704
CS2100,1
CS2102,1
CS2103,1
CS2103T,0.727272727
CS2105,0.777777778
CS2106,0.7
CS2107,1
CS2108,1
CS2109S,1
CS2113,1
CS2113T,0
CS3203,1
CS3211,0.861111111
CS3213,1
CS3223,1
CS3230,0.716666667
CS3235,1
CS3236,0.733333333
CS3240,1
CS3242,1
CS3243,1
CS3244,1
CS3245,0.733333333
CS3247,0.708333333
CS3263,1
CS3264,1
CS4215,0.888888889
CS4218,1
CS4220,1
CS4221,1
CS4222,0.75
CS4225,0.712962963
CS4230,0.8
CS4231,1
CS4238,0.521739131
CS4239,1
CS4240,0.761904762
CS4242,1
CS4243,1
CS4244,1
CS4246,1
CS4247,0.5
CS4248,0.695652174
CS4249,1
CS4268,1
CS4269,1
CS4277,1
CS4278,0.722222222
CS5222,1
CS5230,0.5
CS5232,1
CS5250,0.2
CS5321,1
CS5331,0.666666667
CS5340,0.571428572
CS5346,1
